"","Volume","Period"
"1",127,1
"2",202,2
"3",208,3
"4",220,4
"5",192,5
"6",192,6
"7",150,7
"8",241,8
"9",279,9
"10",279,10
"11",520,11
"12",419,12
"13",225,13
"14",173,14
"15",212,15
"16",215,16
"17",300,17
"18",254,18
"19",228,19
"20",159,20
"21",124,21
"22",207,22
"23",188,23
"24",162,24
"25",152,25
"26",158,26
"27",134,27
"28",93,28
"29",161,29
"30",138,30
"31",148,31
"32",234,32
"33",169,33
"34",104,34
"35",112,35
"36",221,36
"37",248,37
"38",301,38
"39",251,39
"40",251,40
"41",179,41
"42",153,42
"43",210,43
"44",478,44
"45",330,45
"46",229,46
"47",201,47
"48",3,48
"49",0,49
"50",121,50
"51",165,51
"52",175,52
"53",150,53
"54",232,54
"55",150,55
"56",94,56
"57",209,57
"58",199,58
"59",249,59
"60",338,60
"61",353,61
"62",268,62
"63",223,63
"64",338,64
"65",321,65
"66",337,66
"67",296,67
"68",269,68
"69",161,69
"70",124,70
"71",237,71
"72",401,72
"73",364,73
"74",252,74
"75",215,75
"76",125,76
"77",108,77
"78",183,78
"79",142,79
"80",154,80
"81",146,81
"82",133,82
"83",130,83
"84",92,84
"85",141,85
"86",166,86
"87",154,87
"88",185,88
"89",203,89
"90",159,90
"91",176,91
"92",318,92
"93",311,93
"94",338,94
"95",287,95
"96",305,96
"97",182,97
"98",146,98
"99",268,99
"100",200,100
"101",293,101
"102",400.6386,102
"103",542,103
"104",352,104
"105",310,105
"106",356,106
"107",309,107
"108",272,108
"109",284,109
"110",240,110
"111",195,111
"112",110,112
"113",188,113
"114",213,114
"115",231,115
"116",168,116
"117",161,117
"118",119,118
"119",120,119
"120",190,120
"121",305,121
"122",228,122
"123",302,123
"124",354,124
"125",335,125
"126",289,126
"127",448,127
"128",402,128
"129",430,129
"130",370,130
"131",315,131
"132",217,132
"133",171,133
"134",251,134
"135",272,135
"136",242,136
"137",270,137
"138",271,138
"139",176,139
"140",157,140
"141",227,141
"142",225,142
"143",217,143
"144",161,144
"145",198,145
"146",113,146
"147",85,147
"148",122,148
"149",188,149
"150",173,150
"151",181,151
"152",313,152
"153",160,153
"154",132,154
"155",228,155
"156",176,156
"157",202,157
"158",172,158
"159",197,159
"160",147,160
"161",87,161
"162",178,162
"163",293,163
"164",289,164
"165",486.7413,165
"166",688,166
"167",321,167
"168",255,168
"169",456,169
"170",398,170
"171",372,171
"172",315,172
"173",282,173
"174",183,174
"175",173,175
"176",312,176
"177",197,177
"178",233,178
"179",170,179
"180",236,180
"181",156,181
"182",188,182
"183",310,183
"184",422,184
"185",288,185
"186",443,186
"187",497,187
"188",305,188
"189",222,189
"190",475,190
"191",478,191
"192",433,192
"193",388,193
"194",394,194
"195",270,195
"196",231,196
"197",340,197
"198",297,198
"199",254,199
"200",633,200
"201",549,201
"202",338,202
"203",219,203
"204",340,204
"205",304,205
"206",262,206
"207",267,207
"208",233,208
"209",175,209
"210",150,210
"211",232,211
"212",338,212
"213",608,213
"214",528,214
"215",610,215
"216",439,216
"217",331,217
"218",537,218
"219",474,219
"220",461,220
"221",402,221
"222",305,222
"223",282,223
"224",246,224
"225",362,225
"226",303,226
"227",333,227
"228",400,228
"229",375,229
"230",237,230
"231",230,231
"232",380,232
"233",384,233
"234",414,234
"235",594,235
"236",548,236
"237",465,237
"238",434,238
"239",582,239
"240",532,240
"241",406,241
"242",347,242
"243",365,243
"244",338,244
"245",210,245
"246",267,246
"247",380,247
"248",372,248
"249",320,249
"250",299,250
"251",200,251
"252",177,252
"253",260,253
"254",230,254
"255",251,255
"256",507,256
"257",409,257
"258",259,258
"259",171,259
"260",292,260
"261",362,261
"262",361,262
"263",305,263
"264",303,264
"265",203,265
"266",190,266
"267",259,267
"268",282,268
"269",263,269
"270",209,270
"271",239,271
"272",212,272
"273",197,273
"274",427,274
"275",346,275
"276",400,276
"277",392,277
"278",522,278
"279",416,279
"280",410,280
"281",452,281
"282",478,282
"283",515,283
"284",713,284
"285",514,285
"286",335,286
"287",289,287
"288",499,288
"289",447,289
"290",375,290
"291",285,291
"292",313,292
"293",237,293
"294",212,294
"295",287,295
"296",281,296
"297",291,297
"298",272,298
"299",240,299
"300",191,300
"301",172,301
"302",281,302
"303",318,303
"304",498,304
"305",702,305
"306",685,306
"307",553,307
"308",431,308
"309",688,309
"310",669.4095,310
"311",719,311
"312",606,312
"313",543,313
"314",403,314
"315",271,315
"316",375,316
"317",399,317
"318",354,318
"319",363,319
"320",320,320
"321",216,321
"322",185,322
"323",302,323
"324",253,324
"325",224,325
"326",91,326
"327",211,327
"328",164,328
"329",157,329
"330",246,330
"331",260,331
"332",247,332
"333",244,333
"334",271,334
"335",316,335
"336",174,336
"337",328,337
"338",306,338
"339",457.3394,339
"340",506,340
"341",437,341
"342",301,342
"343",227,343
"344",360,344
"345",286,345
"346",288,346
"347",278,347
"348",282,348
"349",215,349
"350",144,350
"351",268,351
"352",316,352
"353",363,353
"354",375,354
"355",418,355
"356",294,356
"357",197,357
"358",255,358
"359",161,359
"360",388,360
"361",431,361
"362",539,362
"363",316,363
"364",253,364
"365",413,365
"366",486,366
"367",617,367
"368",604,368
"369",564,369
"370",384,370
"371",305,371
"372",532,372
"373",539,373
"374",425,374
"375",437,375
"376",385,376
"377",246,377
"378",224,378
"379",343,379
"380",423,380
"381",536,381
"382",529.7218,382
"383",614.1946,383
"384",645,384
"385",488,385
"386",558,386
"387",512,387
"388",556,388
"389",598,389
"390",490,390
"391",393,391
"392",361,392
"393",519,393
"394",500,394
"395",532,395
"396",605,396
"397",597,397
"398",374,398
"399",257,399
"400",352,400
"401",348,401
"402",303,402
"403",307,403
"404",326,404
"405",229,405
"406",240,406
"407",263,407
"408",818,408
"409",514,409
"410",341,410
"411",362,411
"412",289,412
"413",227,413
"414",297,414
"415",302,415
"416",303,416
"417",254,417
"418",255,418
"419",225,419
"420",186,420
"421",289,421
"422",321,422
"423",388,423
"424",478,424
"425",687,425
"426",495,426
"427",413,427
"428",485,428
"429",426,429
"430",348,430
"431",351,431
"432",388,432
"433",296,433
"434",223,434
"435",336,435
"436",725,436
"437",499,437
"438",469,438
"439",497,439
"440",324,440
"441",268,441
"442",317,442
"443",318,443
"444",386,444
"445",385,445
"446",389,446
"447",265,447
"448",233,448
"449",359,449
"450",388,450
"451",474,451
"452",413,452
"453",523,453
"454",417,454
"455",442,455
"456",791,456
"457",514,457
"458",447,458
"459",409,459
"460",429,460
"461",312,461
"462",233,462
"463",370,463
"464",355,464
"465",773,465
"466",557,466
"467",483,467
"468",340,468
"469",299,469
"470",405,470
"471",353,471
"472",327,472
"473",309,473
"474",315,474
"475",219,475
"476",169,476
"477",308,477
"478",362,478
"479",455,479
"480",445,480
"481",478,481
"482",365,482
"483",309,483
"484",472,484
"485",585,485
"486",754,486
"487",539,487
"488",474,488
"489",362,489
"490",301,490
"491",437,491
"492",413,492
"493",381,493
"494",379,494
"495",395,495
"496",278,496
"497",224,497
"498",404,498
"499",853,499
"500",653,500
"501",373,501
"502",364,502
"503",230,503
"504",179,504
"505",326,505
"506",333,506
"507",263,507
"508",305,508
"509",261,509
"510",193,510
"511",127,511
"512",172,512
"513",340,513
"514",453,514
"515",490,515
"516",634,516
"517",620,517
"518",370,518
"519",679,519
"520",733,520
"521",730,521
"522",594,522
"523",726,523
"524",491,524
"525",341,525
"526",633,526
"527",550,527
"528",557,528
"529",635,529
"530",450,530
"531",280,531
"532",221,532
"533",449,533
"534",409,534
"535",404,535
"536",425,536
"537",433,537
"538",258,538
"539",231,539
"540",386,540
"541",377,541
"542",363,542
"543",340,543
"544",431,544
"545",285,545
"546",175,546
"547",680,547
"548",490,548
"549",508,549
"550",240,550
"551",454,551
"552",283,552
"553",245,553
"554",518,554
"555",527,555
"556",627,556
"557",618,557
"558",590.9799,558
"559",463,559
"560",377,560
"561",650,561
"562",583,562
"563",552,563
"564",433,564
"565",383,565
"566",217,566
"567",174,567
"568",331,568
"569",310,569
"570",277,570
"571",345,571
"572",419,572
"573",328,573
"574",349,574
"575",733,575
"576",728,576
"577",848.3637,577
"578",897,578
"579",758,579
"580",518,580
"581",366,581
"582",688,582
"583",652,583
"584",605,584
"585",527,585
"586",517,586
"587",305,587
"588",248,588
"589",505,589
"590",475,590
"591",639,591
"592",582,592
"593",490,593
"594",289,594
"595",230,595
"596",494,596
"597",544,597
"598",503,598
"599",496,599
"600",473,600
"601",306,601
"602",240,602
"603",395,603
"604",416,604
"605",452,605
"606",413,606
"607",437,607
"608",273,608
"609",331,609
"610",305,610
"611",452,611
"612",515,612
"613",521,613
"614",609,614
"615",364,615
"616",288,616
"617",584,617
"618",499,618
"619",549,619
"620",559,620
"621",616,621
"622",420,622
"623",392,623
"624",684,624
"625",783,625
"626",788.5167,626
"627",800,627
"628",770,628
"629",450,629
"630",379,630
"631",539,631
"632",623,632
"633",602,633
"634",547,634
"635",467,635
"636",273,636
"637",241,637
"638",524,638
"639",696,639
"640",561,640
"641",522,641
"642",530,642
"643",333,643
"644",308,644
"645",568,645
"646",475,646
"647",455,647
"648",527,648
"649",560,649
"650",339,650
"651",313,651
"652",392,652
"653",543,653
"654",595,654
"655",435,655
"656",448,656
"657",269,657
"658",212,658
"659",478,659
"660",391,660
"661",363,661
"662",378,662
"663",417,663
"664",165,664
"665",226,665
"666",423,666
"667",459,667
"668",682,668
"669",356,669
"670",418,670
"671",216,671
"672",184,672
"673",306,673
"674",302,674
"675",301,675
"676",325,676
"677",301,677
"678",164,678
"679",131,679
"680",154,680
"681",727,681
"682",513,682
"683",412,683
"684",434,684
"685",313,685
"686",233,686
"687",388,687
"688",409,688
"689",379,689
"690",286,690
"691",248,691
"692",195,692
"693",122,693
"694",227,694
"695",223,695
"696",209,696
"697",49,697
"698",192,698
"699",177,699
"700",346,700
"701",346,701
"702",291,702
"703",235,703
"704",237,704
"705",315,705
"706",207,706
"707",156,707
"708",252,708
"709",260,709
"710",249,710
"711",202,711
"712",244,712
"713",146,713
"714",150,714
"715",268,715
"716",224,716
"717",189,717
"718",193,718
"719",250,719
"720",139,720
"721",117,721
"722",224,722
"723",163,723
"724",72,724
"725",291,725
"726",306,726
"727",259,727
"728",189,728
"729",325.755882180955,729
"730",347.793841810516,730
"731",357.657258066834,731
"732",349.569144342916,732
"733",350.459792027768,733
"734",221.597668574998,734
"735",172.520187928369,735
"736",313.129024187488,736
"737",338.408436897854,737
"738",350.681189640296,738
"739",344.383909273719,739
"740",346.605663731011,740
"741",218.732937327595,741
"742",170.390864644878,742
"743",311.546321569317,743
"744",337.232031418712,744
"745",349.806780363741,745
"746",343.733970458845,746
"747",346.12257134578,747
"748",218.373860061662,748
"749",170.123966455521,749
"750",311.34793907552,750
"751",337.084575889171,751
"752",349.69717828759,752
"753",343.652504438994,753
"754",346.062018547664,754
"755",218.328851831648,755
"756",170.090512332311,756
"757",311.32307299304,757
"758",337.066093203076,758
"759",349.683440309942,759
"760",343.642293151041,760
"761",346.054428609441,761
"762",218.323210313899,762
"763",170.086319054108,763
"764",311.319956175391,764
"765",337.063776506738,765
"766",349.681718334989,766
"767",343.641013225965,767
"768",346.053477255184,768
"769",218.322503182726,769
"770",170.08579345127,770
"771",311.319565500573,771
"772",337.063486122434,772
"773",349.681502495525,773
"774",343.640852794861,774
"775",346.053358008506,775
"776",218.322414547979,776
"777",170.085727570036,777
"778",311.319516531775,778
"779",337.063449724465,779
"780",349.681475441314,780
"781",343.640832685763,781
"782",346.053343061634,782
"783",218.322403438133,783
"784",170.08571931221,784
"785",311.319510393823,785
"786",337.063445162192,786
"787",349.681472050227,787
"788",343.640830165206,788
"789",346.053341188132,789
"790",218.322402045579,790
"791",170.08571827714,791
"792",311.319509624467,792
"793",337.063444590338,793
"794",349.681471625174,794
"795",343.640829849268,795
"796",346.053340953299,796
"797",218.322401871031,797
"798",170.0857181474,798
"799",311.319509528033,799
"800",337.06344451866,800
"801",349.681471571896,801
"802",343.640829809667,802
"803",346.053340923864,803
"804",218.322401849152,804
"805",170.085718131138,805
"806",311.319509515945,806
"807",337.063444509675,807
"808",349.681471565218,808
"809",548.3073,809
"810",741,810
"811",459,811
"812",308,812
"813",603,813
"814",523,814
"815",475,815
"816",429,816
"817",448,817
"818",240,818
"819",200,819
"820",482,820
"821",509,821
"822",593,822
"823",495,823
"824",520,824
"825",344,825
"826",236,826
"827",365,827
"828",365,828
"829",353,829
"830",187,830
"831",181,831
"832",112,832
"833",45,833
"834",176,834
"835",196,835
"836",221,836
"837",225,837
"838",170,838
"839",91,839
"840",61,840
"841",168,841
"842",178,842
"843",267,843
"844",247,844
"845",212,845
"846",128,846
"847",116,847
"848",257,848
"849",271,849
"850",305,850
"851",344,851
"852",407,852
"853",173,853
"854",100,854
"855",292,855
"856",304,856
"857",321,857
"858",288,858
"859",318,859
"860",152,860
"861",85,861
"862",353,862
"863",457,863
"864",435,864
"865",355,865
"866",375,866
"867",210,867
"868",138,868
"869",348,869
"870",325,870
"871",365,871
"872",269,872
"873",319,873
"874",147,874
"875",89,875
"876",86,876
"877",230,877
"878",219,878
"879",213,879
"880",117,880
"881",48,881
"882",61,882
"883",137,883
"884",114,884
"885",90,885
"886",109,886
"887",74,887
"888",48,888
"889",37,889
"890",78,890
"891",83,891
"892",93,892
"893",124,893
"894",132,894
"895",52,895
"896",48,896
"897",125,897
"898",123,898
"899",123,899
"900",120,900
"901",115,901
"902",57,902
"903",55,903
"904",146,904
"905",153,905
"906",134,906
"907",91,907
"908",83,908
"909",54,909
"910",40,910
"911",79,911
"912",89,912
"913",132,913
"914",100,914
"915",82,915
"916",32,916
"917",40,917
"918",85,918
"919",78,919
"920",87,920
"921",87,921
"922",108,922
"923",51,923
"924",42,924
"925",100,925
"926",93,926
"927",95,927
"928",98,928
"929",95,929
"930",37,930
"931",28,931
"932",78,932
"933",108,933
"934",95,934
"935",162,935
"936",119,936
"937",62,937
"938",48,938
"939",120,939
"940",88,940
"941",83,941
"942",103,942
"943",116,943
"944",105,944
"945",52,945
"946",112,946
"947",108,947
"948",116,948
"949",122,949
"950",141,950
"951",100,951
"952",61,952
"953",163,953
"954",148,954
"955",127,955
"956",214,956
"957",202,957
"958",125,958
"959",97,959
"960",211,960
"961",189,961
"962",175,962
"963",121,963
"964",98,964
"965",66,965
"966",29,966
"967",105,967
"968",119,968
"969",114,969
"970",126,970
"971",108,971
"972",60,972
"973",63,973
"974",148,974
"975",183,975
"976",146,976
"977",94,977
"978",86,978
"979",43,979
"980",29,980
"981",43,981
"982",96,982
"983",88,983
"984",105,984
"985",88,985
"986",48,986
"987",36,987
"988",99,988
"989",90,989
"990",110,990
"991",112,991
"992",87,992
"993",30,993
"994",32,994
"995",64,995
"996",54,996
"997",61,997
"998",69,998
"999",58,999
"1000",45,1000
"1001",34,1001
"1002",56,1002
"1003",78,1003
"1004",62,1004
"1005",95,1005
"1006",71,1006
"1007",52,1007
"1008",42,1008
"1009",85,1009
"1010",65,1010
"1011",60,1011
"1012",57,1012
"1013",66,1013
"1014",47,1014
"1015",40,1015
"1016",67,1016
"1017",76,1017
"1018",82,1018
"1019",90,1019
"1020",78,1020
"1021",20,1021
"1022",43,1022
"1023",81,1023
"1024",76,1024
"1025",71,1025
"1026",76,1026
"1027",82,1027
"1028",42,1028
"1029",37,1029
"1030",85,1030
"1031",55,1031
"1032",73,1032
"1033",93,1033
"1034",70,1034
"1035",49,1035
"1036",70,1036
"1037",84,1037
"1038",69,1038
"1039",77,1039
"1040",70,1040
"1041",60,1041
"1042",64,1042
"1043",51,1043
"1044",89,1044
"1045",82,1045
"1046",72,1046
"1047",71,1047
"1048",91,1048
"1049",53,1049
"1050",49,1050
"1051",109,1051
"1052",81,1052
"1053",90,1053
"1054",75,1054
"1055",91,1055
"1056",44,1056
"1057",36,1057
"1058",75,1058
"1059",51,1059
"1060",56,1060
"1061",16,1061
"1062",57,1062
"1063",27,1063
"1064",24,1064
"1065",99,1065
"1066",97,1066
"1067",59,1067
"1068",57,1068
"1069",52,1069
"1070",31,1070
"1071",26,1071
"1072",83,1072
"1073",41,1073
"1074",36,1074
"1075",48,1075
"1076",60,1076
"1077",32,1077
"1078",32,1078
"1079",47,1079
"1080",55,1080
"1081",56,1081
"1082",48,1082
"1083",58,1083
"1084",33,1084
"1085",25,1085
"1086",46,1086
"1087",50,1087
"1100",46,1088
"2100",37,1089
"3100",13,1090
"4100",27,1091
"5100",23,1092
"6100",53,1093
"7100",45,1094
"8100",55,1095
"9100",53,1096
"1088",73,1097
"1110",42,1098
"1210",53,1099
"1310",79,1100
"1410",73,1101
"1510",58,1102
"1610",63,1103
"1710",52,1104
"1810",39,1105
"1910",36,1106
"2010",72,1107
"2110",61,1108
"2210",66,1109
"2310",70,1110
"2410",73,1111
"2510",48,1112
"2610",27,1113
"2710",54,1114
"2810",58,1115
"2910",55,1116
"3010",60,1117
"3110",48,1118
"3210",40,1119
"3310",38,1120
"3410",53,1121
"3510",67,1122
"3610",65,1123
"3710",74,1124
"3810",105,1125
"3910",65,1126
"4010",50,1127
"4110",136,1128
"4210",81,1129
"4310",64,1130
"4410",82,1131
"4510",100,1132
"4610",74,1133
"4710",44,1134
"4810",59,1135
"4910",57,1136
"5010",76,1137
"5110",62,1138
"5210",91,1139
"5310",49,1140
"5410",43,1141
"5510",63,1142
"5610",76,1143
"5710",66,1144
"5810",75,1145
"5910",77,1146
"6010",37,1147
"6110",40,1148
"6210",73,1149
"6310",64,1150
"6410",59,1151
"6510",79,1152
"6610",82,1153
"6710",65,1154
"6810",38,1155
"6910",101,1156
"7010",79,1157
"7110",98,1158
"7210",71,1159
"7310",94,1160
"7410",52,1161
"7510",51,1162
"7610",66,1163
"7710",89,1164
"7810",72,1165
"7910",79,1166
"8010",95,1167
"8110",46,1168
"8210",45,1169
"8310",80,1170
"8410",82,1171
"8510",90,1172
"8610",103,1173
"8710",72,1174
"8810",45,1175
"8910",33,1176
"9010",73,1177
"9110",94,1178
"9210",74,1179
"9310",88,1180
"9410",76,1181
"9510",54,1182
"9610",52,1183
"9710",72,1184
"9810",73,1185
"9910",80,1186
"10010",123,1187
"10110",76,1188
